record_id,case_id,model,exact_contrast_id,optimizer,moment_state,state_protocol,parameter_scope,measurement_geometry,comparison_identity_sha256,horizon_steps,horizon_class,fb_formation,optimizer_transformation,short_horizon,long_run,feedback,training_convergence,status,abstention_reason,source_paths
historical32::qwen_seq128_lmhead_dx,qwen_seq128_lmhead_dx,Qwen3-1.7B,seq128 lm_head input-VJP compiled MM vs FP32 repair,stateless SGD with FP32 master,NOT_APPLICABLE,historical frozen 32-state live paired trajectory,all trainable FP32-master parameters,FIXED_CARRIER_AND_FULL_PARAMETER_DISTANCE,f4fe83c82ae7bac7553a2d90dc6dd7260b9be4eeb5922eb6d5c255eec5285f8f,32,SHORT_HORIZON,FAIL_CROSS_STATE_NONCOHERENT,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,PASS_FLASH_STYLE_CASE,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,PASS_FLASH_STYLE_CASE,Restored as a Flash-style case; the original 32-state negative result is retained.,results/coverage/existing_case_reaudit.json
historical32::liger_fused_ce_t128,liger_fused_ce_t128,Qwen3-1.7B + Liger fused CE,fused CE BF16 dW accumulation vs FP32 accumulation,stateless SGD with FP32 master,NOT_APPLICABLE,historical frozen 32-state live paired trajectory,310 trained parameters,FIXED_CARRIER_AND_FULL_PARAMETER_DISTANCE,f25e8d6329036903b709cadb9c47c8371991d922b6fe074c73592f22ef438f36,32,SHORT_HORIZON,PASS_CROSS_STATE_CONCRETE_MECHANISM,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,PASS_FLASH_STYLE_CASE,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,PASS_FLASH_STYLE_CASE,,results/coverage/existing_case_reaudit.json
historical32::phi4_seq64_lmhead_dx,phi4_seq64_lmhead_dx,Phi-4-mini,backward:497:output_0 compiled BF16 MM vs FP32-cast repair,SGD with FP32 master,NOT_APPLICABLE,historical frozen 32-state live paired trajectory,model.norm.weight only,FIXED_CARRIER,09e9502368601fd328d75f347b214f638573850e93f8a2a79871917ba4691313,32,SHORT_HORIZON,PASS_CROSS_STATE_CONCRETE_MECHANISM,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,PASS_FLASH_STYLE_CASE,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,PASS_FLASH_STYLE_CASE,Trajectory is bounded to model.norm.weight with other parameters frozen.,results/coverage/existing_case_reaudit.json
historical32::layer23_qproj_attention_state_region,layer23_qproj_attention_state_region,Qwen3-1.7B,joint S_bwd/K saved-state repair,"AdamW(beta1=0.9,beta2=0.95)",ZERO_THEN_EVOLVED,historical frozen 32-state live paired trajectory,predeclared q_proj.weight tile,FIXED_CARRIER,4763c784d1ef1ac6bfaae78e949ed615ab25c045fdd9da8a63e1cdfe0ea49b6d,32,SHORT_HORIZON,NOT_ELIGIBLE_AS_SINGLE_KERNEL_PROPERTY,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,PASS_STRICT_SEMANTIC_REGION_FLASH_STYLE_CASE,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,PASS_STRICT_SEMANTIC_REGION_FLASH_STYLE_CASE,Strict concrete case at a causally closed semantic-region boundary; no unique single-kernel root or cross-operator property is claimed.,results/coverage/existing_case_reaudit.json
historical32::qwen_saved_p_seq128,qwen_saved_p_seq128,Qwen3-1.7B,layer27 reconstructed saved-P vs typed true-forward-P VJP,"AdamW(beta1=0.9,beta2=0.95)",ZERO_THEN_EVOLVED,historical frozen 32-state live paired trajectory,layer27 q_proj.weight + k_proj.weight,FIXED_CARRIER,78f3879151e0379c2a2e6630766b7a0a79278be4b3569c5e5effaf1bb17b20c3,32,SHORT_HORIZON,FAIL_CROSS_STATE_NONCOHERENT,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,PASS_STRICT_SEMANTIC_REGION_FLASH_STYLE_CASE,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,PASS_STRICT_SEMANTIC_REGION_FLASH_STYLE_CASE,"The causal boundary replaces reconstructed probability at dS with the typed true-forward-P VJP. This is a closed saved-state semantic region, not a unique single-Triton-instruction attribution.",results/coverage/existing_case_reaudit.json
historical32::qwen3vl_silu_backward,qwen3vl_silu_backward,Qwen3-VL-Reranker-2B,compiled SiLU backward decomposition vs reference,historical paired trajectory,SEE_SOURCE_ARTIFACT,historical frozen 32-state live paired trajectory,declared layer0 carrier,FIXED_CARRIER,a178d7706836123bf5ebd285173dbad333f1436f13b296751b6f6987e9f58a14,32,SHORT_HORIZON,FAIL_CROSS_STATE_NONCOHERENT,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,FAIL_DIRECTIONAL_ACCUMULATION,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,FAIL_DIRECTIONAL_ACCUMULATION,,results/coverage/existing_case_reaudit.json
historical32::qwen128_vproj_output,qwen128_vproj_output,Qwen3-1.7B,layer0 v_proj GEMM accumulation repair,historical paired trajectory,SEE_SOURCE_ARTIFACT,historical frozen 32-state live paired trajectory,declared v_proj carrier,FIXED_CARRIER,33afb208ea37fb7b75f23c918e1bd0c9addfeced294c6d18f2c0b67040640f12,32,SHORT_HORIZON,FAIL_CROSS_STATE_CARRIER_NONCOHERENT,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,FAIL_DIRECTIONAL_ACCUMULATION,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,FAIL_DIRECTIONAL_ACCUMULATION,The local MM-accumulation repair is causal but does not accumulate monotonically through step 32. Coherent output rounding is outside this root-arithmetic intervention and remains a separate semantic-region question.,results/coverage/existing_case_reaudit.json
historical32::mamba_seq64_in_proj,mamba_seq64_in_proj,Mamba-130M,layer0 in_proj GEMM arithmetic repair,"AdamW(beta1=0.9,beta2=0.95)",ZERO_THEN_EVOLVED,historical frozen 32-state live paired trajectory,backbone.layers.0.mixer.in_proj.weight,FIXED_CARRIER,391b7f9314c10fc0852e66f2423fb7ca633998c2700c3cceb58eeb69ab6a9b6e,32,SHORT_HORIZON,FAIL_CROSS_STATE_CARRIER_NONCOHERENT,PROTOCOL_SPECIFIC_NOT_CROSS_COMPARABLE,PASS_FLASH_STYLE_CASE,NOT_MEASURED,NOT_NORMALIZED_IN_THIS_AUDIT,NOT_MEASURED,PASS_FLASH_STYLE_CASE,,results/coverage/existing_case_reaudit.json
unified_adamw32::multishape-backward-cell-0057,multishape-backward-cell-0057,/data1/tzh/models/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,backward:673:out_ptr0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.35.post_attention_layernorm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,ab85a28c87fe65ed8fd7d361ce61907bd3a96f6ac00be665fbe2911e08dc7858,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/deepseek8b_seq128_multishape-backward-cell-0057.json
unified_adamw32::multishape-backward-cell-0103,multishape-backward-cell-0103,/data1/tzh/models/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,backward:1303:output_0,"AdamW(beta1=0.9,beta2=0.95,eps=1e-8,weight_decay=0)",ZERO_THEN_EVOLVED_NORMALLY,32-step result-blind/common-optimizer cohort,model.layers.18.input_layernorm.weight,FULL_VECTOR_GRAM_ON_DECLARED_CARRIER,ecd56915bdb4345dc789427652a8385a8fcf329376ee8be952223e5d571dfb34,32,SHORT_HORIZON,NOT_APPLICABLE,MEASURED_ADAMW_EFFECTIVE_UPDATE,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,NOT_MEASURED,COMPLETE,NOT_MEASURED,NO_CONFIRMED_32_STEP_DIRECT_DIRECTION,,results/property/direct_persistence_v4/cohort.json;results/property/joint_bias_formation_v1/consequence/deepseek8b_seq256_multishape-backward-cell-0103.json
