population_id,population_kind,case_id,candidate_id,model,sequence_length,phase,mathematical_operation,implementation_kind,exact_endpoint_or_region,proof_unit_bound,legacy_observed_role,legacy_observed_verdict,legacy_flash_verdict,legacy_generalizable_verdict,legacy_evidence,legacy_evidence_only,claim_boundary,formation_local,formation_parameter_gradient,formation_effective_update,first_confirmed_bias_stage,formation_label_source
case::flash_attention_literature_anchor,KNOWN_STRICT_CASE,flash_attention_literature_anchor,,external_literature,,,,,flash_attention_paper_mechanism,LITERATURE_ANCHOR_NOT_MEASURED,EXTERNAL_CONTROL_NOT_MEASURED,,,,roster_bound.json;feasibility=BLOCKED;source_status=LITERATURE_ANCHOR_NOT_MEASURED,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::layer23_qproj_attention_state_region,KNOWN_STRICT_CASE,layer23_qproj_attention_state_region,,,,,,,layer23_qproj_attention_state_region,,,NOT_ELIGIBLE_AS_SINGLE_KERNEL_PROPERTY,PASS_STRICT_SEMANTIC_REGION_FLASH_STYLE_CASE,NOT_ELIGIBLE_AS_SINGLE_KERNEL_PROPERTY,roster_bound.json;feasibility=;source_status=;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::liger_fused_ce_t128,KNOWN_STRICT_CASE,liger_fused_ce_t128,,qwen3_1p7b,128,,,,qwen3_liger_fused_linear_ce:dW,qwen3_liger_fused_linear_ce,DEEP_POSITIVE_ANCHOR,PASS_CROSS_STATE_CONCRETE_MECHANISM,PASS_FLASH_STYLE_CASE,PASS_CROSS_STATE_CONCRETE_MECHANISM,results/property/seup_mainline/liger_seup.json;archive/nonprecision_v1/runs/liger.fused_ce.protocol.json;roster_bound.json;feasibility=BLOCKED;source_status=M3_CLOSED_CHUNK_GEOMETRY_BF16_ACCUMULATION;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::mamba64_layer0_input_proj_output,KNOWN_STRICT_CASE,mamba64_layer0_input_proj_output,,,,,,,mamba64_layer0_input_proj_output,,,FAIL_CROSS_STATE_CARRIER_NONCOHERENT,PASS_FLASH_STYLE_CASE,FAIL_CROSS_STATE_CARRIER_NONCOHERENT,roster_bound.json;feasibility=;source_status=;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::phi4_lm_head_dx_seq64,KNOWN_STRICT_CASE,phi4_lm_head_dx_seq64,,phi4,64,,,,phi4_seq64:lm_head.input_gradient.mm,phi4_seq64_backward_497_output,BREADTH_POSITIVE,PASS_CROSS_STATE_CONCRETE_MECHANISM,PASS_FLASH_STYLE_CASE,PASS_CROSS_STATE_CONCRETE_MECHANISM,results/coverage/cases/phi4_seq64_lmhead_dx.json;results/coverage/cases/phi4_seq64_lmhead_dx_trajectory.json;roster_bound.json;feasibility=CAPTURE_READY;source_status=M3_CLOSED_MM_KERNEL_ARITHMETIC;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::qwen3vl_silu_seq160,KNOWN_STRICT_CASE,qwen3vl_silu_seq160,,qwen3_vl_reranker_2b,160,,,,layer0.silu.backward,qwen3vl_layer0_silu,LOCAL_ERROR_NEGATIVE,FAIL_CROSS_STATE_NONCOHERENT,FAIL_DIRECTIONAL_ACCUMULATION,FAIL_CROSS_STATE_NONCOHERENT,results/coverage/cases/qwen3vl_layer0_silu_trajectory.json;roster_bound.json;feasibility=BLOCKED;source_status=M3_ENDPOINT_BOUNDARY_ONLY;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::qwen_bmm_seq64,KNOWN_STRICT_CASE,qwen_bmm_seq64,,qwen3_1p7b,64,,,,forward:10:output_0,qwen_bmm_seq64_seup_negative_control,LOCAL_VARIANCE_NEGATIVE,,,,results/property/seup_mainline/qwen_bmm_seq64_seup.json.gz;results/property/seup_geometry_followup/qwen_bmm_seq64_geometry.json;roster_bound.json;feasibility=BLOCKED;source_status=M3_ENDPOINT_BOUNDARY_ONLY,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::qwen_l23_key_materialization_seq1024,KNOWN_STRICT_CASE,qwen_l23_key_materialization_seq1024,,qwen3_1p7b,1024,,,,layer23.q_proj.key_materialization.tile,qwen_l23_qproj_operand_decomposition,P3_CANDIDATE,,,,results/final/l23_key_actual_scale_materialization_32states.json;roster_bound.json;feasibility=BLOCKED;source_status=M3_CLOSED_MM_OPERAND_DECOMPOSITION,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::qwen_rsqrt_seq128,KNOWN_STRICT_CASE,qwen_rsqrt_seq128,,qwen3_1p7b,128,,,,forward:graph0:rsqrt_13,qwen_rsqrt13_t2_t3,CRITICAL_BOUNDARY,,,,results/coverage/cases/full_coordinate/qwen_seq128_rsqrt13_t2.json.gz;results/coverage/cases/full_coordinate/qwen_seq128_rsqrt13_t3_gram.json.gz;roster_bound.json;feasibility=BLOCKED;source_status=M3_ENDPOINT_BOUNDARY_ONLY,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
case::qwen_saved_p_seq128,KNOWN_STRICT_CASE,qwen_saved_p_seq128,,qwen3_1p7b,128,,,,qwen_seq128_layer27_attention_softmax_saved_P,qwen_seq128_layer27_attention_softmax_fb,P2_P3_CANDIDATE,FAIL_CROSS_STATE_NONCOHERENT,PASS_STRICT_SEMANTIC_REGION_FLASH_STYLE_CASE,FAIL_CROSS_STATE_NONCOHERENT,results/coverage/cases/qwen128_softmax_fb.json;results/coverage/cases/qwen128_softmax_saved_p_trajectory.json;roster_bound.json;feasibility=CAPTURE_READY;source_status=M3_CLOSED_SAVED_STATE_RECONSTRUCTION_REGION;existing_case_reaudit.json,true,Known strict/anchor case retained for the denominator; formation stages remain PENDING until v2.1 capture.,PENDING,PENDING,PENDING,PENDING,NOT_MEASURED
